ID,Date,Weekday,Store,City,Drink,Dairy,Sweetness,Topping,Price,Rating,Month,Day,drink_color,topping_color
95,11/11/2020,Wednesday,Bubble N Tea,"Beaverton, OR",Jasmine Milk Tea (extra shot),Soy,50%,Tapioca,$6.00,5,11,11,Jasmine Milk Tea,Tapioca
96,11/14/2020,Saturday,Bubble N Tea,"Beaverton, OR",Jasmine Milk Tea (extra shot),Soy,50%,Tapioca,$6.00,4,11,14,Jasmine Milk Tea,Tapioca
97,11/24/2020,Tuesday,Bubble N Tea,"Beaverton, OR",Jasmine Milk Tea (extra shot),Milk,50%,,$6.00,2,11,24,Jasmine Milk Tea,
98,11/25/2020,Wednesday,Bubble N Tea,"Beaverton, OR",Jasmine Milk Tea (extra shot),Soy,50%,,$6.00,4,11,25,Jasmine Milk Tea,
99,11/28/2020,Saturday,Bubble N Tea,"Beaverton, OR",Jasmine Milk Tea (extra shot),Soy,50%,Grass Jelly,free,5,11,28,Jasmine Milk Tea,Grass Jelly
100,12/3/2020,Thursday,Bubble N Tea,"Beaverton, OR",Jasmine Milk Tea,Soy,50%,Tapioca,$5.00,4,12,3,Jasmine Milk Tea,Tapioca
101,12/5/2020,Saturday,Bubble N Tea,"Beaverton, OR",Jasmine Milk Tea (extra shot),Soy,50%,Tapioca,$6.00,5,12,5,Jasmine Milk Tea,Tapioca
102,12/6/2020,Sunday,Bubble N Tea,"Beaverton, OR",Jasmine Milk Tea,Soy,50%,Tapioca,$5.00,4,12,6,Jasmine Milk Tea,Tapioca
103,12/17/2020,Thursday,Bubble N Tea,"Beaverton, OR",Jasmine Milk Tea,Soy,50%,Tapioca,$5.00,4,12,17,Jasmine Milk Tea,Tapioca
104,12/18/2020,Friday,Bubble N Tea,"Beaverton, OR",Jasmine Milk Tea,Soy,50%,,$5.00,3,12,18,Jasmine Milk Tea,
